feature,importance
BUREAU_SK_ID_BUREAU_count,1092.5592912197112
EXT_SOURCE_3_SQUARED,1090.3402235031128
REG_CITY_NOT_LIVE_CITY,1077.893038225174
PREV_AMT_APPLICATION_sum,1060.1680376529694
CC_ATM_DRAWINGS_RATIO_mean,1052.1366282939912
BASEMENTAREA_AVG_MODE_DIFF,1042.573615002632
PREV_AMT_APPLICATION_max,1037.4186050891876
APARTMENTS_AVG,1015.2399082183838
CC_AMT_PAYMENT_CURRENT_max,1010.4545304298401
PREV_AMT_APPLICATION_min,1009.193365585804
LIVINGAREA_AVG_MODE_DIFF,1001.9213016033173
LIVINGAREA_AVG,996.7407822608948
LANDAREA_AVG_MEDI_DIFF,994.3317746460438
BASEMENTAREA_AVG,982.4853032112121
BUREAU_AMT_CREDIT_SUM_OVERDUE_mean,967.9033990383148
SOCIAL_CIRCLE_TOTAL_DEFAULTS,967.4073641300201
LANDAREA_AVG_MODE_DIFF,966.3769774675369
APARTMENTS_MODE,961.3868187308311
BUREAU_AMT_CREDIT_SUM_OVERDUE_max,942.3625844955444
LIVINGAREA_MODE,937.6692628860474
CC_AMT_CREDIT_LIMIT_ACTUAL_mean,923.1620514392853
LANDAREA_AVG,921.6339297771453
LIVINGAREA_AVG_MEDI_DIFF,915.4408104419708
EXT_SOURCE_1_SQUARED,901.7537830352783
CC_CNT_INSTALMENT_MATURE_CUM_mean,900.0198011398315
BUREAU_AMT_ANNUITY_sum,890.7841489315033
PREV_AMT_DOWN_PAYMENT_min,889.3707821846008
CC_AMT_PAYMENT_CURRENT_mean,887.4083765506745
NONLIVINGAREA_AVG,860.1194863319397
CC_AMT_CREDIT_LIMIT_ACTUAL_sum,856.0296458244324
YEARS_BUILD_AVG_MODE_DIFF,847.4610886096955
AMT_REQ_CREDIT_BUREAU_QRT,841.022772693634
LANDAREA_MODE,837.2663456439972
BASEMENTAREA_MODE,830.5157095909119
PREV_RATE_DOWN_PAYMENT_min,821.1770498275757
NONLIVINGAREA_AVG_MODE_DIFF,799.06962184906
LIVINGAPARTMENTS_AVG_MODE_DIFF,758.7372487306595
BUREAU_AMT_CREDIT_SUM_LIMIT_sum,758.4261001110077
PREV_NAME_CONTRACT_STATUS_REFUSED_sum,757.1864305496216
YEARS_BUILD_AVG_MEDI_DIFF,755.5114598751068
CC_AMT_PAYMENT_CURRENT_sum,750.4034638404846
POS_SK_DPD_DEF_sum,750.1057091236114
APARTMENTS_AVG_MEDI_DIFF,746.8728934288025
COMMONAREA_MODE,730.3541918754578
APARTMENTS_MEDI,729.0776348114014
POS_MONTHS_BALANCE_size,715.5137433528901
LIVINGAREA_MEDI,711.7846096515656
LIVINGAPARTMENTS_AVG,707.7220695018768
COMMONAREA_AVG,705.4906089782714
CC_AMT_PAYMENT_TOTAL_CURRENT_mean,704.7456620216369
PREV_SK_ID_PREV_count,696.454396867752
CC_AMT_PAYMENT_TOTAL_CURRENT_max,678.5858140945435
CC_CNT_DRAWINGS_POS_CURRENT_mean,668.3467460632324
INST_PAID_OVER_mean,665.2705278873443
FLOORSMAX_AVG,657.882158088684
CC_AMT_DRAWINGS_ATM_CURRENT_max,654.1461228847504
CC_AMT_DRAWINGS_ATM_CURRENT_sum,646.2089978218079
CC_AMT_PAYMENT_TOTAL_CURRENT_sum,645.1785868167877
CC_MIN_PAYMENT_RATIO_min,643.0780985355377
POS_SK_DPD_sum,636.6933604240418
POS_SK_DPD_max,634.1424680709839
OBS_60_CNT_SOCIAL_CIRCLE,633.0287626743317
ENTRANCES_AVG,630.8508880138397
LANDAREA_MEDI,628.9682601451874
CC_CNT_INSTALMENT_MATURE_CUM_sum,625.7298959732055
CREDIT_SQUARED,618.8967182278633
PREV_AMT_GOODS_PRICE_max,593.8975516796112
TOTAL_ENQUIRIES,593.7147871971131
OBS_30_CNT_SOCIAL_CIRCLE,591.2455528736115
COMMONAREA_AVG_MODE_DIFF,585.9787020504475
LIVINGAPARTMENTS_MODE,580.8653064250946
CC_CNT_DRAWINGS_POS_CURRENT_max,563.6437974452972
NONLIVINGAREA_MODE,557.2927149772644
PREV_REFUSED_COUNT,548.9199810981751
NONLIVINGAREA_AVG_MEDI_DIFF,544.3530722141265
CC_CNT_DRAWINGS_CURRENT_sum,541.3290934562683
YEARS_BUILD_AVG,537.943228673935
POS_DPD_RATIO,534.9804107189178
LIVINGAPARTMENTS_AVG_MEDI_DIFF,530.9323432445526
COMMONAREA_AVG_MEDI_DIFF,529.6597001075745
POS_SK_DPD_mean,528.3596146583557
INST_LATE_PAYMENT_sum,518.5465284347534
COMMONAREA_MEDI,518.1226607322693
CC_SK_ID_PREV_count,514.0217537879944
BASEMENTAREA_MEDI,508.2357031345367
CC_AMT_DRAWINGS_CURRENT_sum,503.8709876060486
CC_BALANCE_LIMIT_RATIO_min,503.3932019233704
AMT_REQ_CREDIT_BUREAU_YEAR,497.81201972961424
CC_AMT_BALANCE_max,496.3567406654358
